tanggal,tahun,produksi_padi
2021-01-01,2021,34832.38
2021-02-01,2021,120453.56
2021-03-01,2021,101075.88
2021-04-01,2021,51600.05
2021-05-01,2021,31423.12
2021-06-01,2021,65810.96
2021-07-01,2021,56962.41
2021-08-01,2021,30706.6
2021-09-01,2021,11898.06
2021-10-01,2021,13387.96
2021-11-01,2021,17091.55
2021-12-01,2021,21288.5
2022-01-01,2022,33919.43
2022-02-01,2022,120910.32
2022-03-01,2022,113289.45
2022-04-01,2022,48792.23
2022-05-01,2022,27785.18
2022-06-01,2022,68442.87
2022-07-01,2022,59791.3
2022-08-01,2022,25899.18
2022-09-01,2022,12024.71
2022-10-01,2022,16331.26
2022-11-01,2022,16566.49
2022-12-01,2022,17947.11
2023-01-01,2023,46289.49
2023-02-01,2023,131607.51
2023-03-01,2023,78797.69
2023-04-01,2023,36281.4
2023-05-01,2023,37522.95
2023-06-01,2023,67120.17
2023-07-01,2023,50426.16
2023-08-01,2023,28890.97
2023-09-01,2023,10919.48
2023-10-01,2023,14775.5
2023-11-01,2023,11982.5
2023-12-01,2023,19499.87
2024-01-01,2024,24930.09
2024-02-01,2024,16033.08
2024-03-01,2024,54411.27
2024-04-01,2024,133258.44
2024-05-01,2024,54914.94
2024-06-01,2024,27408.85
2024-07-01,2024,41861.47
2024-08-01,2024,32500.22
2024-09-01,2024,25680.71
2024-10-01,2024,16247.31
2024-11-01,2024,17335.69
2024-12-01,2024,8249.7
2025-01-01,2025,35465.86
2025-02-01,2025,120952.63
2025-03-01,2025,90075.92
2025-04-01,2025,54072.56
2025-05-01,2025,30314.74
2025-06-01,2025,65598.6
2025-07-01,2025,43050.37
2025-08-01,2025,38641.79
2025-09-01,2025,14731.58
2025-10-01,2025,19535.08
2025-11-01,2025,19298.89
