tanggal,tahun,inflasi_pangan
2018-01-01,2018,1.77
2018-02-01,2018,0.43
2018-03-01,2018,0.21
2018-04-01,2018,-0.54
2018-05-01,2018,-0.42
2018-06-01,2018,1.08
2018-07-01,2018,0.88
2018-08-01,2018,-0.99
2018-09-01,2018,-1.59
2018-10-01,2018,-0.19
2018-11-01,2018,1.25
2018-12-01,2018,1.28
2019-01-01,2019,0.62
2019-02-01,2019,-0.86
2019-03-01,2019,0.95
2019-04-01,2019,1.97
2019-05-01,2019,0.85
2019-06-01,2019,-0.24
2019-07-01,2019,0.7
2019-08-01,2019,-0.4
2019-09-01,2019,-1.34
2019-10-01,2019,-0.45
2019-11-01,2019,0.86
2019-12-01,2019,1.1
2020-01-01,2020,1.39
2020-02-01,2020,1.92
2020-03-01,2020,-0.19
2020-04-01,2020,-0.7
2020-05-01,2020,-0.1
2020-06-01,2020,1.17
2020-07-01,2020,-0.79
2020-08-01,2020,-1.01
2020-09-01,2020,-0.24
2020-10-01,2020,-1.35
2020-11-01,2020,1.29
2020-12-01,2020,1.37
2021-01-01,2021,0.71
2021-02-01,2021,0.62
2021-03-01,2021,0.38
2021-04-01,2021,-0.22
2021-05-01,2021,-0.17
2021-06-01,2021,-0.32
2021-07-01,2021,0.36
2021-08-01,2021,0.02
2021-09-01,2021,1.01
2021-10-01,2021,0.23
2021-11-01,2021,1.08
2021-12-01,2021,2.38
2022-01-01,2022,1.16
2022-02-01,2022,-1.18
2022-03-01,2022,1.39
2022-04-01,2022,1.26
2022-05-01,2022,1.81
2022-06-01,2022,1.74
2022-07-01,2022,1.25
2022-08-01,2022,1.63
2022-09-01,2022,-0.49
2022-10-01,2022,-0.53
2022-11-01,2022,0.52
2022-12-01,2022,1.43
2023-01-01,2023,0.51
2023-02-01,2023,0.71
2023-03-01,2023,1.28
2023-04-01,2023,0.29
2023-05-01,2023,1.25
2023-06-01,2023,0.06
2023-07-01,2023,0.43
2023-08-01,2023,-0.72
2023-09-01,2023,0.60
2023-10-01,2023,0.42
2023-11-01,2023,1.32
2023-12-01,2023,1.20
2024-01-01,2024,-0.12
2024-02-01,2024,1.17
2024-03-01,2024,1.23
2024-04-01,2024,-0.70
2024-05-01,2024,-0.27
2024-06-01,2024,-1.07
2024-07-01,2024,-0.65
2024-08-01,2024,-0.56
2024-09-01,2024,-0.42
2024-10-01,2024,0.33
2024-11-01,2024,0.55
2024-12-01,2024,1.35
2025-01-01,2025,2.24
2025-02-01,2025,0
2025-03-01,2025,0.78
2025-04-01,2025,-0.02
2025-05-01,2025,-0.78
2025-06-01,2025,0.62
2025-07-01,2025,-0.19
2025-08-01,2025,-0.90
2025-09-01,2025,0.21
2025-10-01,2025,0.53
2025-11-01,2025,0.77
2025-12-01,2025,1.66
2026-01-01,2026,-1.54
2026-02-01,2026,1.35
2026-03-01,2026,1.05
2026-04-01,2026,-0.19
2026-05-01,2026,-0.21
